InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
71_CLARCTON_5381,71,5381,E&J Peach Brandy,50mL,2,1.98,0.99,1/26/2016,50,1,0.1,3252,E & J GALLO WINERY         
1_HARDERSFIELD_10421,1,10421,Barefoot Moscato Cal,1.5L,1,11.99,11.99,2/10/2016,1500,2,0.22,3252,E & J GALLO WINERY         
79_BALLYMENA_3699,79,3699,Chopin Vodka,1.75L,1,39.99,39.99,1/17/2016,1750,1,1.84,6213,MHW LTD                    
71_CLARCTON_8693,71,8693,Ezra Brooks,750mL,1,9.99,9.99,1/5/2016,750,1,0.79,8352,LUXCO INC                  
66_EANVERNESS_2800,66,2800,Laphroaig 15 Yr Single Malt,750mL,2,159.98,79.99,1/17/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
34_PITMERDEN_25649,34,25649,De Loach Chard Cal,750mL,3,29.97,9.99,1/21/2016,750,2,0.34,4425,MARTIGNETTI COMPANIES
4_EANVERNESS_12771,4,12771,Joel Gott Cab Svgn 815,750mL,2,27.98,13.99,1/30/2016,750,2,0.22,8892,TRINCHERO FAMILY ESTATES   
69_MOUNTMEND_6654,69,6654,Veuve Clicquot Brut Yellow,750mL,1,44.99,44.99,1/25/2016,750,2,0.11,8112,MOET HENNESSY USA INC      
41_LARNWICK_2496,41,2496,Crown Royal Black,1.75L,1,52.99,52.99,1/17/2016,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   
1_HARDERSFIELD_8670,1,8670,Arrow Coffee Brandy,1.75L,1,11.99,11.99,1/27/2016,1750,1,1.84,8352,LUXCO INC                  
66_EANVERNESS_22447,66,22447,Pizzolato Pnt Grigio,750mL,1,6.99,6.99,1/3/2016,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
67_EANVERNESS_4198,67,4198,Sailor Jerry Spiced Navy Rum,1.75L,1,24.99,24.99,1/6/2016,1750,1,1.84,3664,WILLIAM GRANT & SONS INC   
76_DONCASTER_6478,76,6478,C Y Toro Frontera Merlot,1.5L,1,8.99,8.99,1/17/2016,1500,2,0.22,516,BANFI PRODUCTS CORP        
66_EANVERNESS_6599,66,6599,Estancia Cab Svgn Paso Roble,750mL,7,90.93,12.99,1/16/2016,750,2,0.79,1392,CONSTELLATION BRANDS INC   
10_HORNSEY_1397,10,1397,Jim Beam Kentucky Fire,750mL,1,14.49,14.49,1/20/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
69_MOUNTMEND_2648,69,2648,Chivas Regal,375mL,1,17.99,17.99,1/12/2016,375,1,0.39,17035,PERNOD RICARD USA          
16_LUNDY_8691,16,8691,Jose Cuervo Especial,750mL,1,14.99,14.99,2/13/2016,750,1,0.79,7245,PROXIMO SPIRITS INC.       
42_BLACK HOLLOW_29212,42,29212,R Mondavi Merlot Pvt Sel,750mL,1,8.99,8.99,1/5/2016,750,2,0.11,1392,CONSTELLATION BRANDS INC   
50_MOUNTMEND_5316,50,5316,Amaretto DiSaronno,50mL,3,6.87,2.29,1/6/2016,50,1,0.16,2555,DISARONNO INTERNATIONAL LLC
66_EANVERNESS_7224,66,7224,Jagermeister Spice,750mL,2,31.98,15.99,1/29/2016,750,1,1.57,3089,SIDNEY FRANK IMPORTING CO  
73_DONCASTER_7992,73,7992,Patron Anejo Tequila,50mL,1,6.99,6.99,1/14/2016,50,1,0.05,9165,ULTRA BEVERAGE COMPANY LLP 
7_STANMORE_1233,7,1233,Jack Daniels No 7 Black,1.75L,5,179.95,35.99,1/28/2016,1750,1,9.19,1128,BROWN-FORMAN CORP          
59_CLAETHORPES_1886,59,1886,Seagrams 7 Crown,750mL,1,10.99,10.99,1/26/2016,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   
70_KELD_126,70,126,Grey Goose Vodka,Liter,2,59.98,29.99,1/3/2016,1000,1,2.1,480,BACARDI USA INC            
53_HILLFAR_4447,53,4447,Patron XO Cafe Dark Cocoa,750mL,1,26.99,26.99,1/13/2016,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP 
60_IRRAGIN_43618,60,43618,Moillard CdR Violettes Rouge,750mL,1,12.99,12.99,1/23/2016,750,2,0.11,10754,PERFECTA WINES             
6_GOULCREST_3804,6,3804,Svedka Vodka,750mL,3,29.97,9.99,1/25/2016,750,1,2.36,1392,CONSTELLATION BRANDS INC   
34_PITMERDEN_3529,34,3529,U V Vodka,1.75L,14,195.86,13.99,1/23/2016,1750,1,25.72,9206,PHILLIPS PRODUCTS CO.      
68_SOLARIS_3919,68,3919,Hornitos Reposado Tequila,375mL,1,11.49,11.49,1/25/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
